"investorTimes","investorDirections"
95,1
1295,0
13385,1
24373,1
26064,0
27935,1
30751,1
36753,0
37749,1
43443,0
49247,0
49350,1
50050,0
59627,0
66998,1
67622,1
79263,0
95113,0
96290,0
98453,0
101194,1
104073,0
104199,1
104818,1
107151,0
107624,1
109175,1
113022,0
113431,0
116956,0
117583,0
118600,1
119925,0
121030,0
123289,1
126103,0
131515,1
133368,0
147758,1
149186,0
149833,0
156466,0
159135,0
162088,0
164489,0
165103,1
167727,1
169682,1
169781,0
181098,1
182924,0
190247,1
190266,1
192042,1
193045,0
193863,1
200391,0
201589,0
206397,1
208921,0
210998,1
219184,1
231570,0
237401,1
237612,1
239505,1
243451,1
243570,0
243858,1
246970,0
247202,1
248081,0
248935,1
251189,0
254014,0
262426,1
267167,0
270206,1
276648,0
280539,0
282976,1
285268,0
291426,1
291896,0
295741,1
299062,0
